
Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
51 Sb 116   383     60.3 m    8-      2.59(22)      NO/S         1993Bo46   HFI 78 133 (93)

51 Sb 117   0       2.80 h    5/2+    +3.43(6)      AB           1974Ek01   NP A226 219 (74)

51 Sb 118   0       3.6 m     1+      (+)2.46(7)    AB           1968Ja05   PR 175 65 (68)
51 Sb 118   250     5.0 h     8-      2.32(4)       NMR/ON       1974Ca06   NP A221 1 (74)

51 Sb 119   0       38.2 h    5/2+    +3.45(1)      AB           1968Ja05   PR 175 65 (68)

51 Sb 120   0       15.9 m    1+      2.3(2)        AB           1968Ja05   PR 175 65 (68)
51 Sb 120   0+x     5.76 d    8-      2.34(3)       NMR/ON       1974Ca06   NP A221 1 (74)

51 Sb 121   0       stable    5/2+    +3.3580(16)   N            1951Pr02   PR 81 20 (51)

51 Sb 122   0       2.72 d    2-      -1.90(2)      NO/D         1958Pi45   PR 112 935 (58)

51 Sb 123   0       stable    7/2+    +2.5457(12)   N            1951Pr02   PR 81 20 (51)

51 Sb 124   0       60.2 d    3-      1.20(2)       NMR/ON       1974Ca06   NP A221 1 (74)

51 Sb 125   0       2.76 y    7/2+    +2.63(4)      NMR/ON       1974Ca06   NP A221 1 (74)

51 Sb 126   0       12.4 d    (8)-    1.28(7)       NO/S         1972Kr15   PR C6 2268 (72)




26
51 Sb 127   0         3.85 d       7/2+     2.70(4)       NMR/ON      1996Li01            PR C53 124 (96)

51 Sb 128   0         9.05 h       8-       1.3(2)        NO/S        1972Kr15            PR C6 2268 (72)

51 Sb 129   0         4.37 h       7/2+     2.79(4)       NMR/ON      1997St06/1996Li01   PRL 78 820 (97)/PR C53 124 (96)

51 Sb 131   0         23.0 m       7/2+     2.89(4)       NMR/ON      1997St06            PRL 78 820 (97)

51 Sb 133   0         2.34 m       7/2+     3.00(4)       NMR/ON      1997St06            PRL 78 820 (97)

52 Te 119   0         16.1 h       1/2+     0.25(5)       AB          1965Ad03            ArkF 30 111 (65)
52 Te 119   261       4.70 d       11/2-    0.894(6)      NMR/ON      1987Ni11            PR C36 2069 (87)

52 Te 121   294       164 d        11/2-    0.895(10)     NMR/ON      1987Ni11            PR C36 2069 (87)

52 Te 123   0         >9x1016 y    1/2+     -0.7358(3)    N           1977Bu29/1953We51   ZNat 32a 1263 (77)/PR 89 923 (53)
52 Te 123   247       119.2 d      11/2-    -0.927(8)     NMR/ON      1987Ni11/1973Si26   PR C36 2097 (87)/NP A210 307 (73)

52 Te 125   0         stable       1/2+     -0.8870(5)    N           1977Bu29            ZNat 32a 1263 (77)
52 Te 125   145       57.4 d       11/2-    -0.985(6)     NMR/ON      1980Ge02            PR C21 439 (80)

52 Te 127   0         9.35 d       3/2+     0.635(4)      NMR/ON      1979Ge04            PR C20 1171 (79)
52 Te 127   88        106 d        11/2-    -1.041(6)     NMR/ON      1980Ge02            PR C21 439 (80)

52 Te 129   0         69.6 m       3/2+     0.702(4)      NMR/ON      1979Ge04            PR C20 1171 (79)
52 Te 129   106       33.6 d       11/2-    -1.091(7)     NMR/ON      1979Ge04            PR C20 1171 (79)

52 Te 131   0         25.0 m       3/2+     0.696(9)      NMR/ON      1979Ge04            PR C20 1171 (79)
52 Te 131   182       33.3 h       11/2-    -1.123(7)     NMR/ON      1998Wh05            NP A640 322 (98)

52 Te 133   0         12.5 m       3/2+     +0.85(2)      CLS         2006SI40            HFI 171 173 (06)
52 Te 133   334       55.4 m       11/2-    -1.129(7)     NMR/ON      1998Wh05            NP A640 322 (98)

52 Te 135   0         19.0 s       7/2-     -0.69(5)      CLS         2006SI40            HFI 171 173 (06)

53 I 117    0         2.22 m       (5/2)+   3.1(2)        NO/S        1986Gr06            PL 173B 115 (86)

53 I 118    0         13.7 m       2-       2.0(2)        NO/S        1986Gr06            PL 173B 115 (86)
53 I 118    104+x   8.5 m        (7-)     4.2(2)        NO/S        1986Gr06            PL 173B 115 (86)

53 I 119    0         19 m         5/2+     (+)2.9(1)     NO/S        1986Gr06            PL 173B 115 (86)

53 I 120    0         81.6 m       2-       1.23(3)       NO/S        1986Gr06            PL 173B 115 (86)
53 I 120    ~930      53 m         (7-)     4.2(2)        NO/S        1986Gr06            PL 173B 115 (86)

53 I 121    0         2.12 h       5/2-     2.3(1)        NO/S        1986Gr06            PL 173B 115 (86)

53 I 122    0         3.63 m       1+       +0.94(3)      NO/S        1986Gr06/1988As06   PL 173B 115 (86)/HFI 43 489 (88)

53 I 123    0         13.2 h       5/2+     2.818(7)      NMR/ON      1979Sc13            NP A323 1 (79)

53 I 124    0         4.18 d       2-       1.446(4)      NMR/ON      1992Oh01            PR C45 162 (92)

53 I 125    0         59.4 d       5/2+     2.821(5)      NMR/ON      1979Sc13            NP A323 1 (79)

53 I 126    0         12.9 d       2-       1.438(4)      NMR/ON      1992Oh01            PR C45 162 (92)

"53 I 127    0         stable       5/2+     +2.8087(14)   N, O        1951Ya03/1939Sc16   PR 82 750 (51)/ZP 112 199 (39)"

53 I 129    0         1.57x107 y   7/2+     +2.6165(14)   N           1951Wa12            PR 82 97 (51)

53 I 130    0         12.36 h      5+       3.349(7)      NMR/ON      1992Oh01            PR C45 162 (92)

53 I 131    0         8.03 d       7/2+     +2.738(1)     AB          1960Li13            PR 119 2022 (60)

53 I 132    0         2.30 h       4+       3.088(7)      AB          L                   BAPS 5 504 (60)

53 I 133    0         20.8 h       7/2+     +2.856(5)     AB          L                   UCRL 9850 (61)




27
53 I 135    0      6.58 h   7/2+     (+)2.940(2)     NMR/ON       1998Wh04   NP A644 277 (98)

54 Xe 117   0      1.02 m   5/2+     -0.5938(15)     CFBLS        L          PC Neugart (90)

54 Xe 119   0      5.8 m    5/2+     -0.6542(15)     CFBLS        L          PC Neugart (90)

54 Xe 121   0      40.1 m   5/2+     -0.701(3)       CFBLS        L          PC Neugart (90)

54 Xe 123   0      2.08 h   1/2+     -0.150(3)       CFBLS        L          PC Neugart (90)

54 Xe 125   0      16.9 h   1/2+     -0.269(3)       CFBLS        L          PC Neugart (90)
54 Xe 125   253    57 s     9/2-     -0.7453(8)      CFBLS        L          PC Neugart (90)

54 Xe 127   0      36.3 d   1/2+     -0.5033(11)     CFBLS        L          PC Neugart (90)
54 Xe 127   297    1.15 m   9/2-     -0.8844(10)     CFBLS        L          PC Neugart (90)

54 Xe 129   0      stable   1/2+     -0.777961(16)   NMR          2015Ma72   Magn Res Chem 53 273 (2015)
"54 Xe 129   236    8.88 d   11/2-    -0.891170(10)   N, OP/RD     1986Ki16   PR C34 1974 (86)"

54 Xe 131   0      stable   3/2+     +0.691845(7)    NMR          2015Ma72   Magn Res Chem 53 273 (2015)
"54 Xe 131   164    11.8 d   11/2-    -0.993989(12)   N, OP/RD     1986Ki16   PR C34 1974 (86)"

"54 Xe 133   0      5.25 d   3/2+     +0.81335(7)     N, OP/RD     1986Ki16   PR C34 1974 (86)"
"54 Xe 133   233    2.20 d   11/2-    -1.08241(15)    N, OP/RD     1986Ki16   PR C34 1974 (86)"

54 Xe 135   0      9.14 h   3/2+     +0.9032(7)      CFBLS        L          PC Neugart (90)
54 Xe 135   527    15.3 m   11/2-    -1.1036(14)     CFBLS        L          PC Neugart (90)

54 Xe 137   0      3.82 m   7/2-     -0.9704(10)     CFBLS        1989Bo03   PL B216 7 (89)

54 Xe 139   0      39.7 s   3/2-     -0.3040(16)     CFBLS        1989Bo03   PL B216 7 (89)

54 Xe 141   0      1.73 s   5/2(-)   +0.010(3)       CFBLS        1989Bo03   PL B216 7 (89)

54 Xe 143   0      0.51 s   5/2-     -0.460(2)       CFBLS        1989Bo03   PL B216 7 (89)

55 Cs 118   0      14 s     2        +3.870(5)       ABLS         1987Co19   NP A468 1 (87)
55 Cs 118   0+x    17 s     (6-)     5.4(11)         NO/S         1987Sh12   PR C36 413 (87)

55 Cs 119   0      43 s     9/2+     +5.45(3)        ABLS         1981Th06   NP A367 1 (81)
55 Cs 119   0+x    30.4 s   3/2+     +0.837(5)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 120   0      61.3 s   2+       +3.86(2)        ABLS         1981Th06   NP A367 1 (81)

55 Cs 121   0      155 s    3/2+     +0.769(4)       ABLS         1981Th06   NP A367 1 (81)
55 Cs 121   68     122 s    9/2+     +5.40(3)        ABLS         1981Th06   NP A367 1 (81)

55 Cs 122   0      21 s     1+       0.133(2)        AB           1977Ek02   NP A292 144 (77)
55 Cs 122   ~140   3.7 m    8-       +4.76(2)        ABLS         1981Th06   NP A367 1 (81)

55 Cs 123   0      5.9 m    1/2+     +1.375(7)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 124   0      31 s     1+       +0.672(3)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 125   0      47 m     1/2+     +1.407(7)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 126   0      1.64 m   1+       +0.776(4)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 127   0      6.2 h    1/2+     +1.457(7)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 128   0      3.6 m    1+       +0.972(5)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 129   0      32.1 h   1/2+     +1.489(8)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 130   0      29.2 m   1+       +1.458(7)       ABLS         1981Th06   NP A367 1 (81)
55 Cs 130   163    3.46 m   5-       +0.628(4)       ABLS         1981Th06   NP A367 1 (81)

55 Cs 131   0      9.69 d   5/2+     +3.536(3)       AB/D         1965Wo05   PR 140 B1483 (65)

55 Cs 132   0      6.48 d   2+       +2.219(7)       OL           1975Ac01   NP A248 157 (75)




28
55 Cs 133   0      stable        7/2+     +2.5778(14)   OP/RD        1973Wh01             PR A7 1178 (73)

55 Cs 134   0      2.06 y        4+       +2.9893(14)   AB/D         1957St11             PR 105 590 (57)
55 Cs 134   139    2.91 h        8-       +1.0959(6)    AB/D         1962Co14             PR 127 517 (62)

55 Cs 135   0      2.3x106 y   7/2+     +2.7283(13)   AB/D         1957St11             PR 105 590 (57)
55 Cs 135   1633   53 m          19/2-    +2.18(1)      ABLS         1981Th06             NP A367 1 (81)

55 Cs 136   0      13.2 d        5+       +3.705(15)    OL           1975Ac01             NP A248 157 (75)
55 Cs 136   0+x    19 s          8-       +1.317(7)     ABLS         1981Th06             NP A367 1 (81)

55 Cs 137   0      30.1 y        7/2+     +2.8374(14)   AB           1957St11             PR 105 590 (57)

55 Cs 138   0      33.4 m        3-       +0.699(4)     ABLS         1981Th06             NP A367 1 (81)
55 Cs 138   80     2.9 m         6-       +1.710(9)     ABLS         1981Th06             NP A367 1 (81)

55 Cs 139   0      9.3 m         7/2+     +2.688(4)     CFBLS        1979Bo01             ZP A289 227 (79)

55 Cs 140   0      63.7 s        1-       +0.134(1)     ABLS         1981Th06             NP A367 1 (81)

55 Cs 141   0      24.8 s        7/2+     +2.431(10)    CFBLS        1979Bo01             ZP A289 227 (79)

55 Cs 143   0      1.79 s        3/2+     +0.869(4)     ABLS         1981Th06             NP A367 1 (81)

55 Cs 144   0      0.99 s        1(-)     -0.545(3)     ABLS         1981Th06             NP A367 1 (81)

55 Cs 145   0      0.59 s        3/2+     +0.783(4)     ABLS         1981Th06             NP A367 1 (81)

55 Cs 146   0      0.32 s        1-       -0.514(2)     ABLS         1987Co19             NP A468 1 (87)

56 Ba 121   0      30 s          5/2(+)   +0.660(1)     CFBLS        1988We14             PL 211B 272 (88)

56 Ba 123   0      2.7 m         5/2+     -0.680(1)     CFBLS        1988We14             PL 211B 272 (88)
56 Ba 123   0      2.7 m         5/2+    -0.69(2)      CFBLS        1983Mu12             NP A403 234 (83)

56 Ba 125   0      3.5 m         1/2+     +0.177(12)    CFBLS        1983Mu12             NP A403 234 (83)
56 Ba 125   0+x  ? ?              5/2+     0.1736(10)    CFBLS        1992Da06             JP G18 L67 (92)

56 Ba 127   0      12.7 m        1/2+     +0.0834(10)   CFBLS        1992Da06             JP G18 L67 (92)
56 Ba 127   80     1.9 s         7/2-     -0.7227(5)    CFBLS        1992Da06             JP G18 L67 (92)

"56 Ba 129   0      2.23 h        1/2+     -0.398(16)    ABLFS, R     1983Mu12/1979Be25    NP A403 234 (83)/ZP A291 219 (79)"
"56 Ba 129   8.4    2.14 h        7/2+     +0.930(17)    ABLFS, R     1983Mu12/1979Be25    NP A403 234 (83)/ZP A291 219 (79)"

56 Ba 130   2475   9.4 ms        8-       -0.04(3)      CLS          2002Mo31             PL B547 200 (02)

56 Ba 131   0      11.5 d        1/2+     0.7083(2)     TIS          1987Kn10             EPL 4 1361 (87)
56 Ba 131   188    14.6 m        9/2-     -0.87(2)      CFBLS        1983Mu12             NP A403 234 (83)

56 Ba 133   0      10.55 y       1/2+     0.7719(2)     TIS          1987Kn10           EPL 4 1361 (87)
56 Ba 133   288    38.9 h        11/2-    -0.91(5)      ABLFS        1983Mu12/1979DbE25 NP A403 234 (83)/ZP A291 219 (79)

56 Ba 135   0      stable        3/2+     +0.8381(2)    NMR          2013An23           CPL 588 57 (2013)
56 Ba 135   268    28.7 h        11/2-    -1.001(15)    ABLFS        1983Mu12/1979DbE25 NP A403 234 (83)/ZP A291 219 (79)

56 Ba 137   0      stable        3/2+     +0.9375(2)    NMR          2013An23           CPL 588 57 (2013)
56 Ba 137   662    2.55 m        11/2-    -0.99(3)      ABLFS        1983Mu12/1979DbE25 NP A403 234 (83)/ZP A291 219 (79)

56 Ba 139   0      83.1 m        7/2-     -0.973(5)     CFBLS        1988We07             ZP A329 407 (88)

56 Ba 141   0      18.3 m        3/2-     -0.337(5)     CFBLS        1988We07             ZP A329 407 (88)

56 Ba 143   0      14.5 s        5/2-     +0.443(11)    CFBLS        1988We07             ZP A329 407 (88)

56 Ba 145   0      4.31 s        5/2-     -0.285(7)     CFBLS        1988We07             ZP A329 407 (88)

57 La 135   0      19.5 h        5/2+     +3.70(9)      CFBLS        2003II03             PR C68 054328 (03)

57 La 137   0      6x104 y     7/2+     +2.696(6)     O            1972Fi19             ZP 254 127 (72)




29
57 La 138   0     1.0x1011 y   5+      +3.7084(2)    NMR          2016An22            CPL 660 127 (2016)

57 La 139   0     stable         7/2+    +2.7791(2)    NMR          2016An22            CPL 660 127 (2016)

57 La 140   0     40.3 h         3-      +0.730(15)    AB           L                   Cf69Mont 91 (69)

58 Ce 137   0     9.0 h          3/2+    0.96(4)       NMR/ON       1991Mu06            JPJa 60 845 (91)
58 Ce 137   254   34.4 h         11/2-   1.01(4)       NMR/ON       1991Mu06            JPJa 60 845 (91)

58 Ce 139   0     137.6 d        3/2+    1.06(4)       NMR/ON       1991Mu06            JPJa 60 845 (91)

58 Ce 141   0     32.5 d         7/2-    1.09(4)       NMR/ON       1983Va36            HFI 15 325 (83)

58 Ce 143   0     33.0 h         3/2-    0.43(1)       NMR/ON       2002Ta01            PR C65 017301 (01)

59 Pr 141   0     stable         5/2+    +4.266(3)     OD           1982Ma31            PRL 49 636 (82)

59 Pr 142   0     19.1 h         2-      +0.234(1)     AB           L                   PCan 29n4 47 (73)/BAPS 15 628 (70)
59 Pr 142   4     14.6 m         5-      2.2(1)        AB           1973AnZO            PCan 29n4 47 (73)

59 Pr 143   0     13.57 d        7/2+    +2.695(5)     CFBLS        1994Ii01            PR C50 661 (94)

60 Nd 135   0     12.4 m         9/2-    -0.78(3)      LRIMS        1992Le09            JP G18 1177 (92)

60 Nd 137   0     38 m           1/2+    -0.632(5)     LRIMS        1992Le09            JP G18 1177 (92)

60 Nd 139   0     29.7 m         3/2+    +0.905(7)     LRIMS        1992Le09            JP G18 1177 (92)

60 Nd 141   0     2.49 h         3/2+    +1.010(9)     LRIMS        1992Le09            JP G18 1177 (92)

60 Nd 143   0     stable         7/2-    -1.065(5)     AB/D         1965Sm04            PPS 86 1249 (65)

60 Nd 145   0     stable         7/2-    -0.656(4)     AB/D         1965Sm04            PPS 86 1249 (65)

60 Nd 147   0     11.0 d         5/2-    0.554(10)     AB           L                   BAPS 15 769 (70)

60 Nd 149   0     1.73 h         5/2-    0.351(10)     AB           L                   BAPS 15 769 (70)

61 Pm 138   0     3.5 m          (3+)    3.2(9)        NO/S         1992Si22            HFI 75 471 (92)

61 Pm 143   0     265 d          5/2+    3.8(5)        NO/S         1963Gr10            PR 130 1100 (63)

61 Pm 144   0     363 d          5-      1.69(14)      NO/S         1961Sh02            PR 121 558 (61)

61 Pm 145   0     17.7 y         5/2+    +3.80(16)     CFBLS        1992Al03            JP B25 571 (92)

61 Pm 147   0     2.623 y        7/2+    +2.58(7)      O            1966Re04            PR 141 1123 (66)

61 Pm 148   0     5.37 d         1-      +2.1(2)       AB           1965Al10            PR 138 B1356 (65)
61 Pm 148   138   41.3 d         6-      1.8(2)        NO/S         1963Gr10            PR 130 1100 (63)

61 Pm 149   0     53.1 h         7/2+    3.3(5)        NO/S         1960Ch15/1963Gr10   PRS 259A 377 (60)/PR 130 1100 (63)

61 Pm 151   0     28.4 h         5/2+    1.8(2)        AB           1963Bu14            PR 132 723 (63)

62 Sm 139   0     2.57 m         1/2+    -0.53(2)      LRIMS        1992Le09            JP G18 1177 (92)

62 Sm 141   0     10.2 m         1/2+    -0.74(2)      LRIMS        1992Le09            JP G18 1177 (92)
62 Sm 141   176   22.6 m         11/2-   -0.84(2)      LRIMS        1992Le09            JP G18 1177 (92)

62 Sm 143   0     8.75 m         3/2+    +1.01(2)      LRIMS        1992Le09            JP G18 1177 (92)

62 Sm 145   0     340 d          7/2-    -1.120(11)    LRFS         1990En01            JP G16 105 (90)

62 Sm 147   0     1.1x1011 y     7/2-    -0.8090(14)   ENDOR        1972Ch27            PR B5 3387 (72)

62 Sm 149   0     stable         7/2-    -0.6677(11)   ENDOR        1972Ch27            PR B5 3387 (72)

62 Sm 151   0     90 y           5/2-    -0.3605(6)    CFBLS        1981Do07            ZP A302 359 (81)




30
62 Sm 153   0     46.3 h        3/2+      -0.021(3)     LRFS         1990En01   JP G16 105 (90)

63 Eu 138   0     12.1 s        (6-)      5.3(7)        NO/S         1992Si22   HFI 75 471 (92)

63 Eu 139   0     17.9 s         (11/2-)   6.1(8)        NO/S         1992Si22   HFI 75 471 (92)

63 Eu 140   0     1.51 s        1+        +1.362(13)    CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 141   0     40.7 s        5/2+      +3.486(8)     CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 142   0     2.4 s         1+        +1.532(19)    CFBLS        1985Ah02   ZP A321 35 (85)
63 Eu 142   0+x   1.22 m        8-        +2.971(11)    CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 143   0     2.59 m        5/2+      +3.664(8)     CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 144   0     10.2 s        1+        +1.888(13)    CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 145   0     5.93 d        5/2+      +3.983(7)     CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 146   0     4.61 d        4-        +1.422(11)    CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 147   0     24.1 d        5/2+      +3.715(8)     CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 148   0     54.5 d        5-        +2.334(10)    CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 149   0     93.1 d        5/2+      +3.556(6)     CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 150   0     36.9 y        5-        +2.702(11)    CFBLS        1985Ah02   ZP A321 35 (85)

63 Eu 151   0     >1.7x1018 y   5/2+      +3.4635(25)   AB           1965Ev08   PRS 289A 114 (65)

63 Eu 152   0     13.52 y       3-        -1.9354(17)   CFBLS        L          Cf93Bern 209(93)

63 Eu 153   0     stable        5/2+      +1.5294(11)   AB           1965Ev08   PRS 289A 114 (65)

63 Eu 154   0     8.60 y        3-        -2.000(6)     EPR          1957Ab05   PR 108 58 (57)

63 Eu 155   0     4.75 y        5/2+      +1.516(2)     ABLFS        2000Ga35   EurPJ D11 341 (00)

63 Eu 157   0     15.2 h        5/2+      +1.50(2)      CFBLS        1990Al34   ZP A337 257 (90)

63 Eu 158   0     45.9 m        (1-)      +1.44(2)      CFBLS        1990Al34   ZP A337 257 (90)

63 Eu 159   0     18.1 m        5/2+      +1.38(2)      CFBLS        1990Al34   ZP A337 257 (90)

64 Gd 145   0     23 m          1/2+      -0.74(5)      LS           2005Ba64   PR C72 017301 (05)
64 Gd 145   749   85 s          11/2-     -1.0(2)       LS           2005Ba64   PR C72 017301 (05)

64 Gd 147   0     38.1 h        7/2-      1.02(9)       NO/S         1987Kr11   HFI 34 69 (87)

64 Gd 149   0     9.28 d        7/2-      0.88(4)       NO/S         1987Kr11   HFI 34 69 (87)

64 Gd 151   0     123.9 d       7/2-      0.77(6)       NO/S         1987Be33   HFI 34 119 (87)

64 Gd 153   0     240.4 d       3/2-      0.38(8)       NO/S         1985Al21   NP A445 189 (86)

64 Gd 155   0     stable        3/2-      -0.2591(4)    ENDOR        1978Va24   JP C11 203 (78)

64 Gd 157   0     stable        3/2-      -0.3398(6)    ENDOR        1978Va24   JP C11 203 (78)

64 Gd 159   0     18.5 h        3/2-      -0.44(3)      NO/S         1971Kr19   PR C4 1942 (71)

65 Tb 147   0     1.64 h        1/2+      +1.71(5)      CFBLS        1990Al36   ZP A337 367 (90)

65 Tb 148   0     60 m          2-        -1.76(2)      CFBLS        1990Al36   ZP A337 367 (90)

65 Tb 149   0     4.12 h        1/2+      +1.36(2)      CFBLS        1990Al36   ZP A337 367 (90)

65 Tb 150   0     3.48 h        (2)-      -0.90(2)      CFBLS        1990Al36   ZP A337 367 (90)




31
65 Tb 151   0      17.6 h    1/2(+)    +0.926(6)    CFBLS        1990Al36   ZP A337 367 (90)

65 Tb 152   0      17.5 h    2-        -0.58(2)     CFBLS        1990Al36   ZP A337 367 (90)

65 Tb 153   0      2.34 d    5/2+      +3.47(2)     CFBLS        1990Al36   ZP A337 367 (90)

65 Tb 154   0+x    9.4 h     3-        +1.6(2)      CFBLS        1990Al36   ZP A337 367 (90)
65 Tb 154   0+y    22.7 h    7-        0.9(3)       NO/S         1983Be03   JP G9 213 (83)

65 Tb 155   0      5.32 d    3/2+      +2.03(2)     CFBLS        1990Al36   ZP A337 367 (90)

65 Tb 156   0      5.35 d    3-        1.7(2)       NO/S         1983Be03   JP G9 213 (83)

65 Tb 157   0      71 y      3/2+      +2.03(2)     CFBLS        1990Al36   ZP A337 367 (90)

65 Tb 158   0      180 y     3-        +1.753(7)    EPR          1968Ea04   PR 170 1083 (68)

65 Tb 159   0      stable    3/2+      +2.009(4)    ENDOR        1965Ba49   PRS 286A 352 (65)

65 Tb 160   0      72.3 d    3-        +1.698(8)    EPR          1968Ea04   PR 170 1083 (68)

65 Tb 161   0      6.89 d    3/2+      2.2(1)       NO/S         1983Ri15   HFI 15 83 (83)

66 Dy 147   0      67 s      (1/2+)    -0.915(9)    CFBLS        L          PC Neugart (87)
66 Dy 147   751    55 s      (11/2-)   -0.655(10)   CFBLS        L          PC Neugart (87)

66 Dy 149   0      4.2 m     7/2-      -0.119(7)    CFBLS        L          PC Neugart (87)

66 Dy 151   0      17.9 m    7/2-      -0.945(7)    CFBLS        L          PC Neugart (87)

66 Dy 153   0      6.4 h     7/2-      -0.712(6)    AB           1972Ro36   PL 49A 287 (74)

66 Dy 155   0      9.9 h     3/2-      -0.337(3)    AB           1972Ro36   PL 49A 287 (74)

66 Dy 157   0      8.14 h    3/2-      -0.301(2)    AB           1972Ro36   PL 49A 287 (74)

66 Dy 159   0      144 d     3/2-      -0.354(3)    CFBLS        L          PC Neugart (87)

66 Dy 161   0      stable    5/2+      -0.479(3)    AB           1974Fe05   PL 49A 287 (74)

66 Dy 163   0      stable    5/2-      +0.671(4)    AB           1974Fe05   PL 49A 287 (74)

66 Dy 165   0      2.33 h    7/2+      -0.518(6)    AB           1968Ra03   PR 165 1360 (68)/PL 49A 287 (74)

67 Ho 152   0      161.8 s   2-        -1.02(2)     LRIMS        1989Al27   NP A504 549 (89)
67 Ho 152   160    49.8 s    9+        +5.92(5)     LRIMS        1989Al27   NP A504 549 (89)

67 Ho 153   0      2.01 m    11/2-     +6.79(5)     LRIMS        1989Al27   NP A504 549 (89)
67 Ho 153   68     9.3 m     1/2+      +1.19(1)     LRIMS        1989Al27   NP A504 549 (89)

67 Ho 154   0      11.76 m   2-        -0.641(6)    LRIMS        1989Al27   NP A504 549 (89)
67 Ho 154   0+x    3.10 m    8+        +5.63(6)     LRIMS        1989Al27   NP A504 549 (89)

67 Ho 155   0      48 m      5/2+      +3.50(3)     LRIMS        1989Al27   NP A504 549 (89)

67 Ho 156   0      56 m      4-        +2.98(3)     LRIMS        1989Al27   NP A504 549 (89)
67 Ho 156   52     9.5 s     1-        +1.81(2)     CLS          1988Ra41   HFI 43 425 (1988)

67 Ho 157   0      12.6 m    7/2-      +4.34(3)     LRIMS        1989Al27   NP A504 549 (89)

67 Ho 158   0      11.3 m    5+        +3.776(3)    LRIMS        1989Al27   NP A504 549 (89)
67 Ho 158   67.2   28 m      2-        +2.43(3)     LRIMS        1989Al27   NP A504 549 (89)

67 Ho 159   0      33.05 m   7/2-      +4.27(3)     LRIMS        1989Al27   NP A504 549 (89)

67 Ho 160   0      25.6 m    5+        +3.70(3)     LRIMS        1989Al27   NP A504 549 (89)
67 Ho 160   60     5.02 h    2-        +2.51(3)     LRIMS        1989Al27   NP A504 549 (89)

67 Ho 161   0      2.48 h    7/2-      +4.24(3)     LRIMS        1989Al27   NP A504 549 (89)




32
67 Ho 162   0     15.0 m    1+        +2.32(3)      CLS          1988Ra41            HFI 43 425 (1988)
67 Ho 162   106   67 m      6-        +3.59(4)      LRIMS        1989Al27            NP A504 549 (89)

67 Ho 163   0     4570 y    7/2-      +4.22(4)      LRIMS        1989Al27            NP A504 549 (89)

67 Ho 165   0     stable    7/2-      +4.16(3)      AB           1974Da11            ZP 267 239 (74)

67 Ho 166   6     1200 y    7-        3.62(6)       NO/S         1980Al34            PRS A372 19 (80)

68 Er 153   0     37.1 s    (7/2-)    -0.932(7)     CFBLS        1987OtZW            CERN EP/87 51 (1987)

68 Er 155   0     5.3 m     7/2-      -0.666(5)     CFBLS        1987OtZW            CERN EP/87 51 (1987)

68 Er 157   0     18.7 m    3/2-      -0.411(3)     CFBLS        1987OtZW            CERN EP/87 51 (1987)

68 Er 159   0     36 m      3/2-      -0.303(2)     CFBLS        1987OtZW            CERN EP/87 51 (1987)

68 Er 161   0     3.21 h    3/2-      -0.364(3)     CFBLS        1987OtZW            CERN EP/87 51 (1987)

68 Er 163   0     75.0 m    5/2-      +0.556(4)     CFBLS        1987OtZW            CERN EP/87 51 (1987)

68 Er 165   0     10.36 h   5/2-      +0.641(4)     CFBLS        1987OtZW            CERN EP/87 51 (1987)

68 Er 167   0     stable    7/2+      -0.5623(4)    AB           1984Fo02            ZP A315 1 (84)

68 Er 169   0     9.39 d    1/2-      +0.4828(4)    AB           1963Do09/1965Sm04   PR 131 1586 (63)/PPS 86 1249 (65)

68 Er 171   0     7.52 h    5/2-      0.657(10)     AB           1964Bu09            PR 135 B1281 (64)

69 Tm 153   0     1.48 s    (11/2-)   6.93(11)      LRIS         2000Ba16            PR C61 034304 (00)

69 Tm 154   0     8.1 s     (2-)      -1.14(2)      LRIS         2000Ba16            PR C61 034304 (00)
